   1.400  -1.12778600
   1.500  -1.12447100
   1.600  -1.11748400
   1.700  -1.10779000
   1.800  -1.09611500
   1.900  -1.08300700
   2.000  -1.06889000
   2.100  -1.05407900
   2.200  -1.03882900
   2.300  -1.02333500
   2.400  -1.00775400
   2.500  -0.99220900
   2.600  -0.97679700
   2.700  -0.96160000
   2.800  -0.94668200
   2.900  -0.93209400
   3.000  -0.91787900
   3.100  -0.90406800
   3.200  -0.89068900
   3.300  -0.87775900
   3.400  -0.86529300
   3.500  -0.85330000
   3.600  -0.84178500
   3.700  -0.83074900
   3.800  -0.82019100
   3.900  -0.81010700
   4.000  -0.80048900
   4.100  -0.79132900
   4.200  -0.78261800
   4.300  -0.77434300
   4.400  -0.76649200
   4.500  -0.75905000
   4.600  -0.75200500
   4.700  -0.74534000
   4.800  -0.73904100
   4.900  -0.73309100
   5.000  -0.72747600
